ID,reviewed,tracker items,label,alternative term,FGED alternative term,IEDB alternative term,ISA alternative term,NIAID GSCID-BRC alternative term,definition,definition source,example of usage,editor note,curator note,term editor,has curation status,logical type,equivalent classes,parent classes,main processes (has_part)  order process using preceded by,evaluant (realizes some ('evaluant role' and (' role of' some X))),evaluant (realizes some ('evaluant role' and ('inheres in' some X))),evaluant (X and ('has role' some 'evaluant role')),analyte (realizes some ('analyte role' and ('role of' some X),analyte (realizes some ('analyte role' and ('inheres in' some X),device,input (has_specified_input),main input,outputs X   (has_specified_output some X),outputs Y   (some X and (is_about Y)),objective,comment,associated axioms
OBI:0000520,FALSE,,clinical chemistry assay,detection of analyte in blood sample|chemical pathology,,,clinical chemistry,,a process which uses analytical methods to produce measurements and data on the concentration of a chemical parameters (analytes) present in a bodily fluid collected from an organism.,adapted from Wikipedia,"Influence of hydroxyethyl starch (6% HES 130/0.4) administration on hematology and clinical chemistry parameters.
Mueller T, Schimetta W, Dieplinger B, Loeffler P, Rehm M, Kreimeier U, Poelz W, Haltmayer M.
Clin Chem Lab Med. 2008;46(4):558-62.
PMID: 18605936","3/26/09: There needs to be a restriction set that specifies which type of evaluants are used in the assay, somewhere along the lines of 'sample derived of bodily fluid'",,Person: Philippe Rocca-Serra,metadata complete,subclass,,analyte assay,,material entity,,,scattered molecular aggregate,,,,,,,,,
OBI:0000537,FALSE,,copy number variation profiling,CNV analysis,,,,,"copy number variation profiling is a process which aims to provide information about lost or amplified genomic regions of DNA by comparing genomic DNA originated from tissues from same or different individuals using specific techniques such as CGH, array CGH, SNP genotyping.",,"Profiling of copy number variations (CNVs) in healthy individuals from three ethnic groups using a human genome 32 K BAC-clone-based array.
de Ståhl TD, Sandgren J, Piotrowski A, Nord H, Andersson R, Menzel U, Bogdan A, Thuresson AC, Poplawski A, von Tell D, Hansson CM, Elshafie AI, Elghazali G, Imreh S, Nordenskjí_ld M, Upadhyaya M, Komorowski J, Bruder CE, Dumanski JP.
Hum Mutat. 2008 Mar;29(3):398-408. PMID: 18058796",,,Philippe Rocca-Serra,metadata complete,subclass,,assay,,,,,,,,,,measurement datum,genetic characteristics information,,,
OBI:0000615,FALSE,,protein expression profiling,proteomic analysis,,,,,"a planned process which aims to provide information about protein expression and translation activity using protein extracts collected from a material entity using a range of techniques and instrument such as Mass spectrometers, Gel electrophoresis, Western Blots, Protein microarrays",OBI branch derived,"Protein Expression Profiling During Chick Retinal Maturation: A Proteomics-based approach.
Finnegan S, Robson JL, Wylie M, Healy A, Stitt AW, Curry WJ.
Proteome Sci. 2008 Dec 10;6(1):34.PMID: 19077203",,,Phlippe Rocca-Serra,metadata complete,subclass,,assay,,,,,,,,,,,,,,
OBI:0000623,FALSE,,NMR spectroscopy,Nuclear magnetic resonance spectroscopy,,,,,NMR spectroscopy is a process which exploits the magnetic properties of certain nuclei (those with a spin) to resonate when placed in particular magnetic field conditions. Instruments recording NMR spectrum and sets of analysis can be used to deduce  identity of chemical as well as composition of complex chemical mixtures.,adapted from Wikipedia,"Metabolic profiling studies on the toxicological effects of realgar in rats by (1)H NMR spectroscopy.  Wei L, Liao P, Wu H, Li X, Pei F, Li W, Wu Y. Toxicol Appl Pharmacol. 2008 Nov 25. PMID: 19073202",,,Philippe Rocca-Serra,metadata incomplete,subclass,,assay,,,,,,,,,,,,,,
OBI:0000626,FALSE,,DNA sequencing,,,,nucleotide sequencing,,DNA sequencing is a sequencing process which uses deoxyribonucleic acid as input and results in a the creation of DNA sequence information artifact using a DNA sequencer instrument.,OBI Branch derived,"Genomic deletions of OFD1 account for 23% of oral-facial-digital type 1 syndrome after negative DNA sequencing. Thauvin-Robinet C, Franco B, Saugier-Veber P, Aral B, Gigot N, Donzel A, Van Maldergem L, Bieth E, Layet V, Mathieu M, Teebi A, Lespinasse J, Callier P, Mugneret F, Masurel-Paulet A, Gautier E, Huet F, Teyssier JR, Tosi M, Frí©bourg T, Faivre L.  Hum Mutat. 2008 Nov 19. PMID: 19023858",,,Philippe Rocca-Serra,metadata incomplete,subclass,(has_specified_input some ('deoxyribonucleic acid' and ('has role' some 'evaluant role'))) and (has_specified_output some 'DNA sequence data'),sequencing assay,,,,deoxyribonucleic acid,,,DNA sequencer,deoxyribonucleic acid,DNA,DNA sequence data,,,,
OBI:0000630,FALSE,,hematology,"blood analysis, haematology",,,,,hematology is a process studying blood and blood producing organs relying on a variety of techniques and instruments,OBI branch derived,"Co-associations between insulin sensitivity and measures of liver function, subclinical inflammation, and hematology. 
Godsland IF, Johnston DG. 
Metabolism. 2008 Sep;57(9):1190-7. 
PMID: 18702943",,,Philippe Rocca-Serra,metadata incomplete,subclass,,assay,,,,,,,,,,information content entity,hemopoiesis,,,
OBI:0000634,FALSE,,DNA methylation profiling assay,,,,DNA methylation profiling,,an assay which aims to provide information about state of methylation of DNA molecules using genomic DNA collected from a material entity using a range of techniques and instrument such as DNA sequencers and often relying on treatment with bisulfites to ensure cytosine conversion.,OBI branch derived,"Genome-wide, high-resolution DNA methylation profiling using bisulfite-mediated cytosine conversion.  Reinders J, Delucinge Vivier C, Theiler G, Chollet D, Descombes P, Paszkowski J. 
Genome Res. 2008 Mar;18(3):469-76. Epub 2008 Jan 24.  PMID: 18218979",,,Philippe Rocca-Serra,ready for release,subclass,has_specified_output some ('information content entity' and ('is about' some 'regulation of DNA methylation')),"analyte assay, epigenetic modification assay",,,,,deoxyribonucleic acid,,,specimen and ('has part' some deoxyribonucleic acid),DNA,information content entity,regulation of DNA methylation,epigenetic modification identification objective,,
OBI:0000693,FALSE,,MeDIP-seq assay,Methylated DNA immunoprecipitation sequencing assay,,,,,"is an assay which aims at identifying methylated sites in genomic DNA and determining methylation pattern that affect  gene transcription by relying on immunoprecipitation of methylated genomic DNA, creation of a library of corresponding DNA fragments (either single or paired-end fragments) and subsequent sequencing using parallelized sequencing methods.",adapted from wikipedia,"PMID: 18612301. A Bayesian deconvolution strategy for immunoprecipitation-based DNA methylome analysis. Down TA, Rakyan VK, Turner DJ, Flicek P, Li H, Kulesha E, Grí_f S, Johnson N, Herrero J, Tomazou EM, Thorne NP, Bí_ckdahl L, Herberth M, Howe KL, Jackson DK, Miretti MM, Marioni JC, Birney E, Hubbard TJ, Durbin R, Tavarí© S, Beck S. Nat Biotechnol. 2008 Jul;26(7):779-85.",,,Philippe Rocca-Serra,metadata complete,subclass,,"DNA methylation profiling assay, assay using chromatin immunoprecipitation, sequencing assay","immunoprecipitation, library preparation, Helicos sequencing or SOLiD sequencing or Solexa sequencing or pyrosequencing",,,deoxyribonucleic acid,,,,deoxyribonucleic acid,DNA,sequence data,"regulation of DNA methylation, primary structure of DNA macromolecule, regulation of DNA methylation",,,
OBI:0000695,FALSE,,chain termination sequencing,Sanger sequencing|dye terminator sequencing,,,,,"is a DNA sequencing which rely on the use of dideoxynucleotides used in 4 distinct sequencing reaction on the same DNA sample. The dideoxynucleotides, once incorporated in the complementary DNA strand being synthesized by the DNA polymerase prevent any further chain elongation. The newly generated sequences are resolved on a polyacrylamide gel using electrophoresis and labels (either fluorochrome or radioactivity) are used to determine the nucleotide present at a given position",adapted from wikipedia,"PMID: 271968. DNA sequencing with chain-terminating inhibitors.
Sanger F, Nicklen S, Coulson AR. Proc Natl Acad Sci U S A. 1977 Dec;74(12):5463-7.",,,Philippe Rocca-Serra,metadata complete,subclass,,DNA sequencing by synthesis,,,,,,,ABI 377 automated sequencer or Li-Cor 4300 DNA Analysis System,PCR product,PCR product,,,,,
OBI:0000697,FALSE,,Helicos sequencing,true single molecule sequencing,,,,,is a DNA sequencing which allows sequence identification of billions of DNA molecules immobilized to a surface by using DNA polymerase and fluorescently labeled nucleotides added one at a time. The sequencing process does not requires amplification step and is typically able to produce reads of 25 base pair length.,adapted from wikipedia,"PMID: 18388294. Single-molecule DNA sequencing of a viral genome.
Harris TD, Buzby PR, Babcock H, Beer E, Bowers J, Braslavsky I, Causey M, Colonell J, Dimeo J, Efcavitch JW, Giladi E, Gill J, Healy J, Jarosz M, Lapen D, Moulton K, Quake SR, Steinmann K, Thayer E, Tyurina A, Ward R, Weiss H, Xie Z. Science. 2008 Apr 4;320(5872):106-9.",,,Philippe Rocca-Serra,metadata complete,subclass,,DNA sequencing by synthesis,,,,,,,HeliScope SIngle Molecule Sequencer,,,,,,,
OBI:0000699,FALSE,,survival assessment,,,,,,Survival assessment is an assay that measures the occurrence of death events in one or more organisms that are monitored over time,,,Need to point out more specifically that survival / death is measured.,,,metadata incomplete,subclass,,assay,,,,,,,,organism,organism,survival rate,organism,,,
OBI:0000706,FALSE,,SOLiD sequencing,,,,,,"is a DNA sequencing which allows sequence identification by relying on the following steps:
1. Primers hybridize to the P1 adapter sequence within the library template.
2. A set of four fluorescently labeled di-base probes compete for ligation to the sequencing primer. Specificity of the di-base probe is achieved by interrogating every 1st and 2nd base in each ligation reaction.
3. Multiple cycles of ligation, detection and cleavage are performed with the number of cycles determining the eventual read length.
4. Following a series of ligation cycles, the extension product is removed and the template is reset with a primer complementary to the n-1 position for a second round of ligation cycles",adapted from Wikipedia and Applied Biosystems web site,"PMID: 19119315. High-resolution analysis of the 5'-end transcriptome using a next generation DNA sequencer.  Hashimoto S, Qu W, Ahsan B, Ogoshi K, Sasaki A, Nakatani Y, Lee Y, Ogawa M, Ametani A, Suzuki Y, Sugano S, Lee CC, Nutter RC, Morishita S, Matsushima K. PLoS One. 2009;4(1):e4108.",,,Philippe Rocca-Serra,metadata complete,subclass,,DNA sequencing by ligation,,,,,,,AB SOLiD System,"DNA ligase, paired-end library or single fragment library",reagent,,,,,
OBI:0000716,FALSE,,ChIP-seq assay,chromatin immunoprecipitation sequencing assay,,,,,"an assay which aims at identifying protein binding sites in genomic DNA and determining how protein may regulate gene transcription by relying on immunoprecipitation of DNA bound protein, creation of a library of corresponding DNA fragments  (either single or paired-end fragments) and subsequent sequencing using parallelized sequencing methods.",adapted from Wikipedia,"PMID: 19275939
ChIP-seq: using high-throughput sequencing to discover protein-DNA interactions.
Schmidt D, Wilson MD, Spyrou C, Brown GD, Hadfield J, Odom DT.
Methods. 2009 Jul;48(3):240-8. Epub 2009 Mar 9.",,"made some modification based on the discussion on 2011/4/4 obi dev call, using DNA sequencing instead of union of some specific DNA sequencing processes",Philippe Rocca-Serra,ready for release,subclass,,"assay using chromatin immunoprecipitation, epigenetic modification assay, sequencing assay","DNA sequencing, immunoprecipitation, library preparation",,,,deoxyribonucleic acid,,DNA sequencer,specimen and ('has part' deoxyribonecleic acid and protein complex),DNA  protein complex,information content entity,"chromatin remodeling or regulation of molecular function, epigenetic or sequence-specific DNA binding or transcription factors","epigenetic modification identification objective, protein and DNA interaction identification objective",,
OBI:0000721,FALSE,,glucose tolerance test,,,,,,"is a process in  which following administration of a bolus a glucose in-vivo, glucose clearance from blood plasma is monitored over time by repeated glucose measurement in blood serum. the output of a process is a measure which can be used to evaluate the severity of insulin resistance or the efficiency of glucose clearance.",NuGO OBI plan branch,"PMID: 19527607
Using the 100-g Oral Glucose Tolerance Test to Predict Fetal and Maternal Outcomes in Women with Gestational Diabetes Mellitus.
Lin CH, Wen SF, Wu YH, Huang MJ.
Chang Gung Med J. 2009 May-Jun;32(3):283-9.","30-10-2013:[author: PRS] removing ""realizes some (concretizes some 'time series design')"" axiom as it causes 'gtt' to be classified under study design execution instead of assay",,Philippe Rocca-Serra,ready for release,subclass,,assay,"measuring glucose concentration in blood serum, data transformation. administering substance in vivo",is_proxy_for some 'Insulin resistance',,,,,,,information content entity,information content entity  graph,is_proxy_for some 'Insulin resistance',biological feature identification objective,Include data transformation as part of assay,has part' some ('data transformation' and (has_specified_input some 'measurement datum') and (has_specified_output some graph))
OBI:0000723,FALSE,,DNA sequencing by ligation,,,,,,is a DNA sequencing which relies on DNA ligase activity to perform chain extension during the sequencing reaction step.,,"PMID: 19546169. Sequence and structural variation in a human genome uncovered by short-read, massively parallel ligation sequencing using two base encoding.
McKernan KJ, Peckham HE, Costa G, McLaughlin S, Tsung E, Fu Y, 
Clouser C, Dunkan C, Ichikawa J, Lee C, Zhang Z, Sheridan A, Fu H, Ranade S, Dimilanta E, Sokolsky T, Zhang L, Hendrickson C, Li B, Kotler L, Stuart J, Malek J, Manning J, Antipova A, Perez D, Moore M, Hayashibara K, Lyons M, Beaudoin R, Coleman B, Laptewicz M, Sanicandro A, Rhodes M, De La Vega F, Gottimukkala RK, Hyland F, Reese M, Yang S, Bafna V, Bashir A, Macbride A, Aklan C, Kidd JM, Eichler EE, Blanchard AP. Genome Res. 2009 Jun 22.",PERSON: Philippe Rocca-Serra,,,metadata incomplete,subclass,,DNA sequencing,,,,,,,,DNA ligase,reagent,,,,,
OBI:0000724,FALSE,,Solexa sequencing,reversible terminator sequencing,,,,,is a DNA sequencing which allows sequence identification by relying on use of DNA polymerase and reversible terminator. The methods requires immobilization of genomic DNA fragment onto a surface and a specific clonal amplification step known as bridge PCR. Reliance on reversible terminator allow cycles of DNA chain extension by DNA polymerase and imaging without the need of electrophoretic separation of newly synthesized DNA fragment as with Sanger sequencing.,adapted from Wikipedia and Illumina / Solexa web site (SS_DNAsequencing.pdf document available on july 2009),"PMID: 18987734
Accurate whole human genome sequencing using reversible terminator chemistry. Bentley DR, Balasubramanian S, Swerdlow HP, Smith GP, Milton J, Brown CG, Hall KP, Evers DJ, Barnes CL, Bignell HR, Boutell JM, Bryant J, Carter RJ, Keira Cheetham R, Cox AJ, Ellis DJ, Flatbush MR, Gormley NA, Humphray SJ, Irving LJ, Karbelashvili MS, Kirk SM, Li H, Liu X, Maisinger KS, Murray LJ, Obradovic B, Ost T, Parkinson ML, Pratt MR, Rasolonjatovo IM, Reed MT, Rigatti R, Rodighiero C, Ross MT, Sabot A, Sankar SV, Scally A, Schroth GP, Smith ME, Smith VP, Spiridou A, Torrance PE, Tzonev SS, Vermaas EH, Walter K, Wu X, Zhang L, Alam MD, Anastasi C, Aniebo IC, Bailey DM, Bancarz IR, Banerjee S, Barbour SG, Baybayan PA, Benoit VA, Benson KF, Bevis C, Black PJ, Boodhun A, Brennan JS, Bridgham JA, Brown RC, Brown AA, Buermann DH, Bundu AA, Burrows JC, Carter NP, Castillo N, Chiara E Catenazzi M, Chang S, Neil Cooley R, Crake NR, Dada OO, Diakoumakos KD, Dominguez-Fernandez B, Earnshaw DJ, Egbujor UC, Elmore DW, Etchin SS, Ewan MR, Fedurco M, Fraser LJ, Fuentes Fajardo KV, Scott Furey W, George D, Gietzen KJ, Goddard CP, Golda GS, Granieri PA, Green DE, Gustafson DL, Hansen NF, Harnish K, Haudenschild CD, Heyer NI, Hims MM, Ho JT, Horgan AM, Hoschler K, Hurwitz S, Ivanov DV, Johnson MQ, James T, Huw Jones TA, Kang GD, Kerelska TH, Kersey AD, Khrebtukova I, Kindwall AP, Kingsbury Z, Kokko-Gonzales PI, Kumar A, Laurent MA, Lawley CT, Lee SE, Lee X, Liao AK, Loch JA, Lok M, Luo S, Mammen RM, Martin JW, McCauley PG, McNitt P, Mehta P, Moon KW, Mullens JW, Newington T, Ning Z, Ling Ng B, Novo SM, O'Neill MJ, Osborne MA, Osnowski A, Ostadan O, Paraschos LL, Pickering L, Pike AC, Pike AC, Chris Pinkard D, Pliskin DP, Podhasky J, Quijano VJ, Raczy C, Rae VH, Rawlings SR, Chiva Rodriguez A, Roe PM, Rogers J, Rogert Bacigalupo MC, Romanov N, Romieu A, Roth RK, Rourke NJ, Ruediger ST, Rusman E, Sanches-Kuiper RM, Schenker MR, Seoane JM, Shaw RJ, Shiver MK, Short SW, Sizto NL, Sluis JP, Smith MA, Ernest Sohna Sohna J, Spence EJ, Stevens K, Sutton N, Szajkowski L, Tregidgo CL, Turcatti G, Vandevondele S, Verhovsky Y, Virk SM, Wakelin S, Walcott GC, Wang J, Worsley GJ, Yan J, Yau L, Zuerlein M, Rogers J, Mullikin JC, Hurles ME, McCooke NJ, West JS, Oaks FL, Lundberg PL, Klenerman D, Durbin R, Smith AJ. Nature. 2008 Nov 6;456(7218):53-9.",,,Philippe Rocca-Serra,metadata complete,subclass,,DNA sequencing by synthesis,,,,,,,Illumina Genome Analyzer II,paired-end library or single fragment library,reagent,,,,,
OBI:0000730,FALSE,,pyrosequencing,,,,,,"is a DNA sequencing which allows sequencing of a single strand of DNA by synthesizing the complementary strand along it, one base pair at a time, and detecting which base was actually added at each step. The template DNA is immobilized, and solutions of A, C, G, and T nucleotides are added and removed after the reaction, sequentially. Light is produced only when the nucleotide solution complements the first unpaired base of the template. The sequence of solutions which produce chemiluminescent signals allows the determination of the sequence of the template.

ssDNA template is hybridized to a sequencing primer and incubated with the enzymes DNA polymerase, ATP sulfurylase, luciferase and apyrase, and with the substrates adenosine 5-prime phosphosulfate (APS) and luciferin.",Wikipedia (http://en.wikipedia.org/wiki/Pyrosequencing) and Roche 454 life science web site,"Pyrosequencing sheds light on DNA sequencing.
PMID: 1115661.  Ronaghi M. Genome Res. 2001 Jan;11(1):3-11. Review.",,,Philippe Rocca-Serra,metadata complete,subclass,,DNA sequencing by synthesis,,,,,,,454 Genome Sequence 20 or 454 Genome Sequencer FLX,,,,,,,
OBI:0000734,FALSE,,DNA sequencing by synthesis,,,,,,is a DNA sequencing which relies on DNA polymerase activity to perform chain extension during the sequencing reaction step.,,"PMID: 18263613. A new class of cleavable fluorescent nucleotides: synthesis and optimization as reversible terminators for DNA sequencing by synthesis. Turcatti G, Romieu A, Fedurco M, Tairi AP. Nucleic Acids Res. 2008 Mar;36(4):e25.",,,PERSON: Philippe Rocca-Serra,metadata incomplete,subclass,,DNA sequencing,,,,,,,,DNA polymerase complex,reagent,,,,,
OBI:0000743,FALSE,,immune response assay,,,,,,an assay with the objective to determine information about an immune response,,,,,,metadata incomplete,subclass,(has_specified_output some ('measurement datum' and ('is about' some 'immune response'))) and (achieves_planned_objective some 'assay objective'),assay,,,,,,,,,,measurement datum,immune response,,,
OBI:0000748,FALSE,,bisulfite sequencing,,,,,,An assay which allows to determine the methylation status of genomic DNA using DNA sequencing techniques preceded by a bisulfite based chemical modification of genomic DNA at CpG island location.,adapted from Wikipedia,"PMID: 19581485. High definition profiling of mammalian DNA methylation by array capture and single molecule bisulfite sequencing. Hodges E, Smith A, Kendall J, Xuan Z, Ravi K, Rooks M, Zhang M, Ye K, Battacharjee A, Brizuela L, McCombie WR, Wigler M, Hannon GJ, Hicks J.
Genome Res. 2009 Jul 6.","8/19/09: Chris says that there may used to be a way of doing bisulfite sequencing comparing lengths of restriction fragments, which implies that it is possible to do without DNA sequencing.",,Philippe Rocca-Serra,metadata complete,subclass,,"DNA sequencing, DNA methylation profiling by high throughput sequencing assay",DNA sequencing,,,deoxyribonucleic acid,,,DNA sequencer,deoxyribonucleic acid,DNA,measurement datum  DNA sequence data,DNA residue methylation  regulation of DNA methylation,epigenetic modification identification objective,,
OBI:0000787,FALSE,,human antithrombin-III (AT-III) in blood assay,,,,,,An assay to measure the amount of antithrombin III in blood.,WEB:http://www.muschealth.com/lab/content.aspx?id=150006@2009/08/06,PMID:19696660#The antithrombin-III (AT-III) was determined using a Berichrom(r) Antithrombin-III (A) kit.,,,Person:Alan Ruttenberg,ready for release,subclass,,analyte assay,,,,,scattered molecular aggregate' and ('has grain' some antithrombin-III),,,blood serum specimen,blood serum specimen,scalar measurement datum,blood coagulation,,,
